0 Ensemble_score =  1.803 z-score -2.626 Chi = 1.803 c1 = 1.045 c2 = 0.491
 488 Int300_9_B10970001_MSE.pdb.dat    (0.261) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.286) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.312) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.078) [ 0.989, 0.124, 0.054 ] 
2413 Basic350_6_B10680001_MSE.pdb.dat    (0.062) [ 0.002, 0.062, 1.000 ] 
19 Ensemble_score =  1.862 z-score -0.979 Chi = 1.862 c1 = 1.045 c2 = 0.549
 488 Int300_9_B10970001_MSE.pdb.dat    (0.248) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.295) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.284) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.120) [ 0.989, 0.124, 0.054 ] 
1435 Basic310_3_B10540001_MSE.pdb.dat    (0.054) [ 0.002, 0.054, 1.000 ] 
20 Ensemble_score =  1.862 z-score -0.975 Chi = 1.862 c1 = 1.045 c2 = 0.491
 488 Int300_9_B10970001_MSE.pdb.dat    (0.220) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.264) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.338) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.054) [ 0.989, 0.124, 0.054 ] 
1566 Basic300_9_B10650001_MSE.pdb.dat    (0.124) [ 0.033, 0.139, 0.015 ] 
21 Ensemble_score =  1.865 z-score -0.903 Chi = 1.865 c1 = 1.045 c2 = 0.549
