# | FILE                           | hit counts | ZScore sum. | Hit score (decimal) | Hit score (binary)
215 | Basic300_2_B10120001_MSE.dat | 4 | -4.074 | 131172 | 100000000001100100
216 | Basic300_2_B10130001_MSE.dat | 4 | -4.125 | 132192 | 100000010001100000
217 | Basic300_2_B10140001_MSE.dat | 4 | -4.113 | 1124 | 10001100100
218 | Basic300_2_B10150001_MSE.dat | 5 | -5.450 | 132196 | 100000010001100100
219 | Basic300_2_B10160001_MSE.dat | 5 | -5.663 | 132196 | 100000010001100100
220 | Basic300_2_B10170001_MSE.dat | 5 | -5.515 | 132196 | 100000010001100100
221 | Basic300_2_B10180001_MSE.dat | 7 | -8.114 | 138340 | 100001110001100100
222 | Basic300_2_B10190001_MSE.dat | 5 | -6.028 | 135268 | 100001000001100100
223 | Basic300_2_B10200001_MSE.dat | 5 | -6.301 | 135268 | 100001000001100100
224 | Basic300_2_B10210001_MSE.dat | 6 | -7.451 | 136292 | 100001010001100100
225 | Basic300_2_B10220001_MSE.dat | 5 | -6.312 | 135268 | 100001000001100100
226 | Basic300_2_B10230001_MSE.dat | 6 | -7.304 | 143460 | 100011000001100100
227 | Basic300_2_B10240001_MSE.dat | 4 | -5.373 | 4196 | 1000001100100
228 | Basic300_2_B10250001_MSE.dat | 5 | -6.157 | 135268 | 100001000001100100
229 | Basic300_2_B10260001_MSE.dat | 6 | -6.682 | 136292 | 100001010001100100
230 | Basic300_2_B10270001_MSE.dat | 4 | -4.372 | 4196 | 1000001100100
231 | Basic300_2_B10280001_MSE.dat | 4 | -4.135 | 4196 | 1000001100100
232 | Basic300_2_B10290001_MSE.dat | 2 | -2.100 | 68 | 1000100
233 | Basic300_2_B10300001_MSE.dat | 2 | -2.135 | 68 | 1000100
234 | Basic300_2_B10310001_MSE.dat | 1 | -0.927 | 4 | 100
235 | Basic300_2_B10320001_MSE.dat | 1 | -0.883 | 4 | 100
236 | Basic300_2_B10330001_MSE.dat | 0 | 0.000 | 0 | 0
237 | Basic300_2_B10340001_MSE.dat | 2 | -1.717 | 8208 | 10000000010000
238 | Basic300_2_B10350001_MSE.dat | 1 | -0.865 | 8192 | 10000000000000
239 | Basic300_2_B10360001_MSE.dat | 2 | -1.886 | 8704 | 10001000000000
240 | Basic300_2_B10370001_MSE.dat | 2 | -1.983 | 8704 | 10001000000000
241 | Basic300_2_B10380001_MSE.dat | 2 | -1.998 | 8704 | 10001000000000
242 | Basic300_2_B10390001_MSE.dat | 2 | -1.781 | 8704 | 10001000000000
243 | Basic300_2_B10400001_MSE.dat | 2 | -1.783 | 8704 | 10001000000000
244 | Basic300_2_B10410001_MSE.dat | 2 | -1.769 | 8704 | 10001000000000
245 | Basic300_2_B10420001_MSE.dat | 1 | -0.880 | 8192 | 10000000000000
246 | Basic300_2_B10430001_MSE.dat | 1 | -0.919 | 8192 | 10000000000000
247 | Basic300_2_B10440001_MSE.dat | 1 | -0.958 | 8192 | 10000000000000
248 | Basic300_2_B10450001_MSE.dat | 1 | -0.962 | 8192 | 10000000000000
249 | Basic300_2_B10460001_MSE.dat | 1 | -0.958 | 8192 | 10000000000000
250 | Basic300_2_B10470001_MSE.dat | 2 | -1.760 | 8704 | 10001000000000
251 | Basic300_2_B10480001_MSE.dat | 2 | -1.829 | 8704 | 10001000000000
252 | Basic300_2_B10490001_MSE.dat | 3 | -2.805 | 25088 | 110001000000000
253 | Basic300_2_B10500001_MSE.dat | 3 | -2.759 | 25088 | 110001000000000
254 | Basic300_2_B10510001_MSE.dat | 3 | -2.946 | 25088 | 110001000000000
255 | Basic300_2_B10520001_MSE.dat | 3 | -3.037 | 25088 | 110001000000000
256 | Basic300_2_B10530001_MSE.dat | 3 | -3.104 | 25088 | 110001000000000
257 | Basic300_2_B10540001_MSE.dat | 3 | -3.000 | 25088 | 110001000000000
258 | Basic300_2_B10550001_MSE.dat | 3 | -3.096 | 25088 | 110001000000000
259 | Basic300_2_B10560001_MSE.dat | 3 | -3.068 | 25088 | 110001000000000
260 | Basic300_2_B10570001_MSE.dat | 3 | -3.080 | 25088 | 110001000000000
261 | Basic300_2_B10580001_MSE.dat | 3 | -2.809 | 28672 | 111000000000000
262 | Basic300_2_B10590001_MSE.dat | 3 | -3.124 | 28672 | 111000000000000
263 | Basic300_2_B10600001_MSE.dat | 3 | -3.262 | 28672 | 111000000000000
264 | Basic300_2_B10610001_MSE.dat | 3 | -3.372 | 28672 | 111000000000000
265 | Basic300_2_B10620001_MSE.dat | 4 | -4.246 | 290816 | 1000111000000000000
266 | Basic300_2_B10630001_MSE.dat | 4 | -4.225 | 290816 | 1000111000000000000
267 | Basic300_2_B10640001_MSE.dat | 4 | -4.146 | 290816 | 1000111000000000000
268 | Basic300_2_B10650001_MSE.dat | 4 | -3.937 | 290816 | 1000111000000000000
269 | Basic300_2_B10660001_MSE.dat | 4 | -4.083 | 290816 | 1000111000000000000
270 | Basic300_2_B10670001_MSE.dat | 4 | -4.219 | 290816 | 1000111000000000000
271 | Basic300_2_B10680001_MSE.dat | 3 | -3.224 | 28672 | 111000000000000
272 | Basic300_2_B10690001_MSE.dat | 3 | -3.307 | 28672 | 111000000000000
273 | Basic300_2_B10700001_MSE.dat | 3 | -3.346 | 28672 | 111000000000000
274 | Basic300_2_B10710001_MSE.dat | 3 | -3.331 | 28672 | 111000000000000
275 | Basic300_2_B10720001_MSE.dat | 2 | -2.285 | 24576 | 110000000000000
276 | Basic300_2_B10730001_MSE.dat | 2 | -2.357 | 24576 | 110000000000000
277 | Basic300_2_B10740001_MSE.dat | 2 | -2.305 | 24576 | 110000000000000
278 | Basic300_2_B10750001_MSE.dat | 2 | -2.335 | 24576 | 110000000000000
279 | Basic300_2_B10760001_MSE.dat | 3 | -3.181 | 24592 | 110000000010000
280 | Basic300_2_B10770001_MSE.dat | 3 | -3.078 | 25088 | 110001000000000
281 | Basic300_2_B10780001_MSE.dat | 3 | -3.062 | 25088 | 110001000000000
282 | Basic300_2_B10790001_MSE.dat | 2 | -2.158 | 8704 | 10001000000000
283 | Basic300_2_B10800001_MSE.dat | 1 | -0.870 | 16384 | 100000000000000
284 | Basic300_2_B10810001_MSE.dat | 1 | -0.869 | 16384 | 100000000000000
285 | Basic300_2_B10820001_MSE.dat | 0 | 0.000 | 0 | 0
286 | Basic300_2_B10830001_MSE.dat | 1 | -0.862 | 16384 | 100000000000000
287 | Basic300_2_B10840001_MSE.dat | 5 | -4.423 | 25136 | 110001000110000
288 | Basic300_2_B10850001_MSE.dat | 4 | -3.730 | 16436 | 100000000110100
289 | Basic300_2_B10860001_MSE.dat | 5 | -4.708 | 24628 | 110000000110100
290 | Basic300_2_B10870001_MSE.dat | 3 | -2.876 | 16420 | 100000000100100
291 | Basic300_2_B10880001_MSE.dat | 6 | -5.749 | 803364 | 11000100001000100100
292 | Basic300_2_B10890001_MSE.dat | 5 | -4.895 | 279076 | 1000100001000100100
293 | Basic300_2_B10900001_MSE.dat | 3 | -2.718 | 262180 | 1000000000000100100
294 | Basic300_2_B10910001_MSE.dat | 4 | -3.870 | 278564 | 1000100000000100100
295 | Basic300_2_B10920001_MSE.dat | 6 | -5.893 | 278581 | 1000100000000110101
296 | Basic300_2_B10930001_MSE.dat | 6 | -6.195 | 278581 | 1000100000000110101
297 | Basic300_2_B10940001_MSE.dat | 5 | -5.455 | 278565 | 1000100000000100101
298 | Basic300_2_B10950001_MSE.dat | 5 | -5.374 | 278565 | 1000100000000100101
299 | Basic300_2_B10960001_MSE.dat | 5 | -5.348 | 278565 | 1000100000000100101
300 | Basic300_2_B10970001_MSE.dat | 4 | -4.430 | 16421 | 100000000100101
301 | Basic300_2_B10980001_MSE.dat | 4 | -4.541 | 16421 | 100000000100101
302 | Basic300_2_B10990001_MSE.dat | 4 | -4.520 | 16421 | 100000000100101
303 | Basic300_2_B11000001_MSE.dat | 5 | -5.084 | 16429 | 100000000101101
304 | Basic300_2_B99990001_MSE.dat | 5 | -5.084 | 16429 | 100000000101101
305 | Basic300_3_B10010001_MSE.dat | 5 | -5.326 | 1246464 | 100110000010100000000
306 | Basic300_3_B10020001_MSE.dat | 3 | -3.020 | 66816 | 10000010100000000
307 | Basic300_3_B10030001_MSE.dat | 3 | -3.111 | 66816 | 10000010100000000
308 | Basic300_3_B10040001_MSE.dat | 3 | -3.039 | 66816 | 10000010100000000
309 | Basic300_3_B10050001_MSE.dat | 2 | -2.008 | 65792 | 10000000100000000
310 | Basic300_3_B10060001_MSE.dat | 3 | -2.983 | 66816 | 10000010100000000
311 | Basic300_3_B10070001_MSE.dat | 1 | -0.960 | 131072 | 100000000000000000
312 | Basic300_3_B10080001_MSE.dat | 3 | -3.398 | 197632 | 110000010000000000
313 | Basic300_3_B10090001_MSE.dat | 2 | -2.184 | 132096 | 100000010000000000
314 | Basic300_3_B10100001_MSE.dat | 2 | -2.055 | 132096 | 100000010000000000
315 | Basic300_3_B10110001_MSE.dat | 4 | -4.091 | 197888 | 110000010100000000
316 | Basic300_3_B10120001_MSE.dat | 3 | -2.717 | 132352 | 100000010100000000
317 | Basic300_3_B10130001_MSE.dat | 4 | -3.824 | 197888 | 110000010100000000
318 | Basic300_3_B10140001_MSE.dat | 3 | -3.212 | 132352 | 100000010100000000
319 | Basic300_3_B10150001_MSE.dat | 3 | -3.223 | 197632 | 110000010000000000
320 | Basic300_3_B10160001_MSE.dat | 5 | -5.224 | 1246464 | 100110000010100000000
321 | Basic300_3_B10170001_MSE.dat | 5 | -5.162 | 1246464 | 100110000010100000000
322 | Basic300_3_B10180001_MSE.dat | 5 | -5.163 | 1246464 | 100110000010100000000
323 | Basic300_3_B10190001_MSE.dat | 5 | -5.109 | 1246464 | 100110000010100000000
324 | Basic300_3_B10200001_MSE.dat | 5 | -5.187 | 1246464 | 100110000010100000000
325 | Basic300_3_B10210001_MSE.dat | 5 | -4.749 | 1180992 | 100100000010101000000
326 | Basic300_3_B10220001_MSE.dat | 4 | -4.047 | 1180928 | 100100000010100000000
327 | Basic300_3_B10230001_MSE.dat | 5 | -5.162 | 1180992 | 100100000010101000000
328 | Basic300_3_B10240001_MSE.dat | 6 | -6.498 | 1246528 | 100110000010101000000
329 | Basic300_3_B10250001_MSE.dat | 6 | -6.899 | 1246528 | 100110000010101000000
330 | Basic300_3_B10260001_MSE.dat | 6 | -7.053 | 1246528 | 100110000010101000000
331 | Basic300_3_B10270001_MSE.dat | 6 | -6.963 | 1246528 | 100110000010101000000
332 | Basic300_3_B10280001_MSE.dat | 5 | -5.798 | 1245504 | 100110000000101000000
333 | Basic300_3_B10290001_MSE.dat | 5 | -5.549 | 1245504 | 100110000000101000000
334 | Basic300_3_B10300001_MSE.dat | 5 | -5.703 | 197952 | 110000010101000000
335 | Basic300_3_B10310001_MSE.dat | 6 | -6.874 | 1246528 | 100110000010101000000
336 | Basic300_3_B10320001_MSE.dat | 6 | -7.100 | 1261888 | 100110100000101000000
337 | Basic300_3_B10330001_MSE.dat | 5 | -6.035 | 1245504 | 100110000000101000000
338 | Basic300_3_B10340001_MSE.dat | 7 | -7.986 | 1261892 | 100110100000101000100
339 | Basic300_3_B10350001_MSE.dat | 8 | -8.772 | 1270084 | 100110110000101000100
340 | Basic300_3_B10360001_MSE.dat | 8 | -9.013 | 1270084 | 100110110000101000100
341 | Basic300_3_B10370001_MSE.dat | 7 | -8.101 | 1269828 | 100110110000001000100
342 | Basic300_3_B10380001_MSE.dat | 7 | -7.904 | 1269828 | 100110110000001000100
343 | Basic300_3_B10390001_MSE.dat | 6 | -6.928 | 1138756 | 100010110000001000100
344 | Basic300_3_B10400001_MSE.dat | 6 | -6.926 | 1138756 | 100010110000001000100
345 | Basic300_3_B10410001_MSE.dat | 7 | -7.737 | 1269828 | 100110110000001000100
346 | Basic300_3_B10420001_MSE.dat | 7 | -7.951 | 1663044 | 110010110000001000100
347 | Basic300_3_B10430001_MSE.dat | 7 | -8.104 | 1138788 | 100010110000001100100
348 | Basic300_3_B10440001_MSE.dat | 6 | -7.141 | 1138756 | 100010110000001000100
349 | Basic300_3_B10450001_MSE.dat | 7 | -7.908 | 1171524 | 100011110000001000100
350 | Basic300_3_B10460001_MSE.dat | 6 | -7.051 | 1138756 | 100010110000001000100
351 | Basic300_3_B10470001_MSE.dat | 6 | -7.001 | 1138756 | 100010110000001000100
352 | Basic300_3_B10480001_MSE.dat | 6 | -6.758 | 1138756 | 100010110000001000100
353 | Basic300_3_B10490001_MSE.dat | 4 | -4.999 | 90116 | 10110000000000100
354 | Basic300_3_B10500001_MSE.dat | 6 | -7.116 | 1171460 | 100011110000000000100
355 | Basic300_3_B10510001_MSE.dat | 5 | -6.164 | 90372 | 10110000100000100
356 | Basic300_3_B10520001_MSE.dat | 6 | -7.123 | 90404 | 10110000100100100
357 | Basic300_3_B10530001_MSE.dat | 6 | -7.396 | 90404 | 10110000100100100
