FILE sum.
Basic300_1_B10020001_MSE.dat 1194048
Basic300_1_B10030001_MSE.dat 143428
Basic300_1_B10040001_MSE.dat 146500
Basic300_1_B10050001_MSE.dat 146436
Basic300_1_B10060001_MSE.dat 5188
Basic300_1_B10070001_MSE.dat 5124
Basic300_1_B10080001_MSE.dat 4100
Basic300_1_B10090001_MSE.dat 4100
Basic300_1_B10100001_MSE.dat 4224
Basic300_1_B10110001_MSE.dat 132
Basic300_1_B10120001_MSE.dat 132
Basic300_1_B10130001_MSE.dat 4
Basic300_1_B10140001_MSE.dat 8324
Basic300_1_B10150001_MSE.dat 8324
Basic300_1_B10160001_MSE.dat 8196
Basic300_1_B10170001_MSE.dat 8320
Basic300_1_B10180001_MSE.dat 8212
Basic300_1_B10190001_MSE.dat 8336
Basic300_1_B10200001_MSE.dat 8212
Basic300_1_B10210001_MSE.dat 270484
Basic300_1_B10220001_MSE.dat 270468
Basic300_1_B10230001_MSE.dat 795268
Basic300_1_B10240001_MSE.dat 270980
Basic300_1_B10250001_MSE.dat 270852
Basic300_1_B10260001_MSE.dat 270852
Basic300_1_B10270001_MSE.dat 795268
Basic300_1_B10280001_MSE.dat 795136
Basic300_1_B10290001_MSE.dat 798720
Basic300_1_B10300001_MSE.dat 274432
Basic300_1_B10310001_MSE.dat 794624
Basic300_1_B10320001_MSE.dat 794624
Basic300_1_B10330001_MSE.dat 270336
Basic300_1_B10340001_MSE.dat 532480
Basic300_1_B10350001_MSE.dat 534656
Basic300_1_B10360001_MSE.dat 534528
Basic300_1_B10370001_MSE.dat 534656
Basic300_1_B10380001_MSE.dat 534528
Basic300_1_B10390001_MSE.dat 2048
Basic300_1_B10400001_MSE.dat 6144
Basic300_1_B10410001_MSE.dat 10240
Basic300_1_B10420001_MSE.dat 2048
Basic300_1_B10430001_MSE.dat 526336
Basic300_1_B10440001_MSE.dat 526336
Basic300_1_B10450001_MSE.dat 526336
Basic300_1_B10460001_MSE.dat 657416
Basic300_1_B10470001_MSE.dat 526472
Basic300_1_B10480001_MSE.dat 526472
Basic300_1_B10490001_MSE.dat 526472
Basic300_1_B10500001_MSE.dat 663688
Basic300_1_B10510001_MSE.dat 538764
Basic300_1_B10520001_MSE.dat 534684
Basic300_1_B10530001_MSE.dat 524428
Basic300_1_B10540001_MSE.dat 524428
Basic300_1_B10550001_MSE.dat 532684
Basic300_1_B10560001_MSE.dat 532620
Basic300_1_B10570001_MSE.dat 802956
Basic300_1_B10580001_MSE.dat 802956
Basic300_1_B10590001_MSE.dat 813196
Basic300_1_B10600001_MSE.dat 813261
Basic300_1_B10610001_MSE.dat 813261
Basic300_1_B10620001_MSE.dat 817293
Basic300_1_B10630001_MSE.dat 811149
Basic300_1_B10640001_MSE.dat 817293
Basic300_1_B10650001_MSE.dat 948365
Basic300_1_B10660001_MSE.dat 813261
Basic300_1_B10670001_MSE.dat 813261
Basic300_1_B10680001_MSE.dat 813069
Basic300_1_B10690001_MSE.dat 813197
Basic300_1_B10700001_MSE.dat 944269
Basic300_1_B10710001_MSE.dat 813197
Basic300_1_B10720001_MSE.dat 948365
Basic300_1_B10730001_MSE.dat 424141
Basic300_1_B10740001_MSE.dat 1460429
Basic300_1_B10750001_MSE.dat 395405
Basic300_1_B10760001_MSE.dat 1441925
Basic300_1_B10770001_MSE.dat 1179776
Basic300_1_B10780001_MSE.dat 1179904
Basic300_1_B10790001_MSE.dat 1179648
Basic300_1_B10800001_MSE.dat 1196032
Basic300_1_B10810001_MSE.dat 1181697
Basic300_1_B10820001_MSE.dat 1181761
Basic300_1_B10830001_MSE.dat 1181761
Basic300_1_B10840001_MSE.dat 1247553
Basic300_1_B10850001_MSE.dat 1247297
Basic300_1_B10860001_MSE.dat 1116161
Basic300_1_B10870001_MSE.dat 1247489
Basic300_1_B10880001_MSE.dat 1247493
Basic300_1_B10890001_MSE.dat 1247493
Basic300_1_B10900001_MSE.dat 1247493
Basic300_1_B10910001_MSE.dat 1247493
Basic300_1_B10920001_MSE.dat 1247493
Basic300_1_B10930001_MSE.dat 1247492
Basic300_1_B10940001_MSE.dat 1245445
Basic300_1_B10950001_MSE.dat 1181956
Basic300_1_B10960001_MSE.dat 1247524
Basic300_1_B10970001_MSE.dat 1247524
Basic300_1_B10980001_MSE.dat 1116452
Basic300_1_B10990001_MSE.dat 1116452
Basic300_1_B11000001_MSE.dat 1247524
Basic300_1_B99990001_MSE.dat 1247524
Basic300_2_B10010001_MSE.dat 131428
Basic300_2_B10020001_MSE.dat 132420
Basic300_2_B10030001_MSE.dat 142660
Basic300_2_B10040001_MSE.dat 134500
Basic300_2_B10050001_MSE.dat 142436
Basic300_2_B10060001_MSE.dat 141668
Basic300_2_B10070001_MSE.dat 8548
Basic300_2_B10080001_MSE.dat 140644
Basic300_2_B10090001_MSE.dat 8288
Basic300_2_B10100001_MSE.dat 9316
Basic300_2_B10110001_MSE.dat 8292
Basic300_2_B10120001_MSE.dat 131172
Basic300_2_B10130001_MSE.dat 132192
Basic300_2_B10140001_MSE.dat 1124
Basic300_2_B10150001_MSE.dat 132196
Basic300_2_B10160001_MSE.dat 132196
Basic300_2_B10170001_MSE.dat 132196
Basic300_2_B10180001_MSE.dat 138340
Basic300_2_B10190001_MSE.dat 135268
Basic300_2_B10200001_MSE.dat 135268
Basic300_2_B10210001_MSE.dat 136292
Basic300_2_B10220001_MSE.dat 135268
Basic300_2_B10230001_MSE.dat 143460
Basic300_2_B10240001_MSE.dat 4196
Basic300_2_B10250001_MSE.dat 135268
Basic300_2_B10260001_MSE.dat 136292
Basic300_2_B10270001_MSE.dat 4196
Basic300_2_B10280001_MSE.dat 4196
Basic300_2_B10290001_MSE.dat 68
Basic300_2_B10300001_MSE.dat 68
Basic300_2_B10310001_MSE.dat 4
Basic300_2_B10320001_MSE.dat 4
Basic300_2_B10330001_MSE.dat 0
Basic300_2_B10340001_MSE.dat 8208
Basic300_2_B10350001_MSE.dat 8192
Basic300_2_B10360001_MSE.dat 8704
Basic300_2_B10370001_MSE.dat 8704
Basic300_2_B10380001_MSE.dat 8704
Basic300_2_B10390001_MSE.dat 8704
Basic300_2_B10400001_MSE.dat 8704
Basic300_2_B10410001_MSE.dat 8704
Basic300_2_B10420001_MSE.dat 8192
Basic300_2_B10430001_MSE.dat 8192
Basic300_2_B10440001_MSE.dat 8192
Basic300_2_B10450001_MSE.dat 8192
Basic300_2_B10460001_MSE.dat 8192
Basic300_2_B10470001_MSE.dat 8704
Basic300_2_B10480001_MSE.dat 8704
Basic300_2_B10490001_MSE.dat 25088
Basic300_2_B10500001_MSE.dat 25088
Basic300_2_B10510001_MSE.dat 25088
Basic300_2_B10520001_MSE.dat 25088
Basic300_2_B10530001_MSE.dat 25088
Basic300_2_B10540001_MSE.dat 25088
Basic300_2_B10550001_MSE.dat 25088
Basic300_2_B10560001_MSE.dat 25088
Basic300_2_B10570001_MSE.dat 25088
Basic300_2_B10580001_MSE.dat 28672
Basic300_2_B10590001_MSE.dat 28672
Basic300_2_B10600001_MSE.dat 28672
Basic300_2_B10610001_MSE.dat 28672
Basic300_2_B10620001_MSE.dat 290816
Basic300_2_B10630001_MSE.dat 290816
Basic300_2_B10640001_MSE.dat 290816
Basic300_2_B10650001_MSE.dat 290816
Basic300_2_B10660001_MSE.dat 290816
Basic300_2_B10670001_MSE.dat 290816
Basic300_2_B10680001_MSE.dat 28672
Basic300_2_B10690001_MSE.dat 28672
Basic300_2_B10700001_MSE.dat 28672
Basic300_2_B10710001_MSE.dat 28672
Basic300_2_B10720001_MSE.dat 24576
Basic300_2_B10730001_MSE.dat 24576
Basic300_2_B10740001_MSE.dat 24576
Basic300_2_B10750001_MSE.dat 24576
Basic300_2_B10760001_MSE.dat 24592
Basic300_2_B10770001_MSE.dat 25088
Basic300_2_B10780001_MSE.dat 25088
Basic300_2_B10790001_MSE.dat 8704
Basic300_2_B10800001_MSE.dat 16384
Basic300_2_B10810001_MSE.dat 16384
Basic300_2_B10820001_MSE.dat 0
Basic300_2_B10830001_MSE.dat 16384
Basic300_2_B10840001_MSE.dat 25136
Basic300_2_B10850001_MSE.dat 16436
Basic300_2_B10860001_MSE.dat 24628
Basic300_2_B10870001_MSE.dat 16420
Basic300_2_B10880001_MSE.dat 803364
Basic300_2_B10890001_MSE.dat 279076
Basic300_2_B10900001_MSE.dat 262180
Basic300_2_B10910001_MSE.dat 278564
Basic300_2_B10920001_MSE.dat 278581
Basic300_2_B10930001_MSE.dat 278581
Basic300_2_B10940001_MSE.dat 278565
Basic300_2_B10950001_MSE.dat 278565
Basic300_2_B10960001_MSE.dat 278565
Basic300_2_B10970001_MSE.dat 16421
Basic300_2_B10980001_MSE.dat 16421
Basic300_2_B10990001_MSE.dat 16421
Basic300_2_B11000001_MSE.dat 16429
Basic300_2_B99990001_MSE.dat 16429
Basic300_3_B10010001_MSE.dat 1246464
Basic300_3_B10020001_MSE.dat 66816
Basic300_3_B10030001_MSE.dat 66816
Basic300_3_B10040001_MSE.dat 66816
Basic300_3_B10050001_MSE.dat 65792
Basic300_3_B10060001_MSE.dat 66816
Basic300_3_B10070001_MSE.dat 131072
Basic300_3_B10080001_MSE.dat 197632
Basic300_3_B10090001_MSE.dat 132096
Basic300_3_B10100001_MSE.dat 132096
Basic300_3_B10110001_MSE.dat 197888
Basic300_3_B10120001_MSE.dat 132352
Basic300_3_B10130001_MSE.dat 197888
Basic300_3_B10140001_MSE.dat 132352
Basic300_3_B10150001_MSE.dat 197632
Basic300_3_B10160001_MSE.dat 1246464
Basic300_3_B10170001_MSE.dat 1246464
Basic300_3_B10180001_MSE.dat 1246464
Basic300_3_B10190001_MSE.dat 1246464
Basic300_3_B10200001_MSE.dat 1246464
Basic300_3_B10210001_MSE.dat 1180992
Basic300_3_B10220001_MSE.dat 1180928
Basic300_3_B10230001_MSE.dat 1180992
Basic300_3_B10240001_MSE.dat 1246528
Basic300_3_B10250001_MSE.dat 1246528
Basic300_3_B10260001_MSE.dat 1246528
Basic300_3_B10270001_MSE.dat 1246528
Basic300_3_B10280001_MSE.dat 1245504
Basic300_3_B10290001_MSE.dat 1245504
Basic300_3_B10300001_MSE.dat 197952
Basic300_3_B10310001_MSE.dat 1246528
Basic300_3_B10320001_MSE.dat 1261888
Basic300_3_B10330001_MSE.dat 1245504
Basic300_3_B10340001_MSE.dat 1261892
Basic300_3_B10350001_MSE.dat 1270084
Basic300_3_B10360001_MSE.dat 1270084
Basic300_3_B10370001_MSE.dat 1269828
Basic300_3_B10380001_MSE.dat 1269828
Basic300_3_B10390001_MSE.dat 1138756
Basic300_3_B10400001_MSE.dat 1138756
Basic300_3_B10410001_MSE.dat 1269828
Basic300_3_B10420001_MSE.dat 1663044
Basic300_3_B10430001_MSE.dat 1138788
Basic300_3_B10440001_MSE.dat 1138756
Basic300_3_B10450001_MSE.dat 1171524
Basic300_3_B10460001_MSE.dat 1138756
Basic300_3_B10470001_MSE.dat 1138756
Basic300_3_B10480001_MSE.dat 1138756
Basic300_3_B10490001_MSE.dat 90116
Basic300_3_B10500001_MSE.dat 1171460
Basic300_3_B10510001_MSE.dat 90372
Basic300_3_B10520001_MSE.dat 90404
Basic300_3_B10530001_MSE.dat 90404
Basic300_3_B10540001_MSE.dat 90404
Basic300_3_B10550001_MSE.dat 90404
Basic300_3_B10560001_MSE.dat 90404
Basic300_3_B10570001_MSE.dat 90404
Basic300_3_B10580001_MSE.dat 90404
Basic300_3_B10590001_MSE.dat 74020
Basic300_3_B10600001_MSE.dat 74020
Basic300_3_B10610001_MSE.dat 74020
Basic300_3_B10620001_MSE.dat 74020
Basic300_3_B10630001_MSE.dat 74020
Basic300_3_B10640001_MSE.dat 74020
Basic300_3_B10650001_MSE.dat 74020
Basic300_3_B10660001_MSE.dat 73988
Basic300_3_B10670001_MSE.dat 73988
Basic300_3_B10680001_MSE.dat 65796
Basic300_3_B10690001_MSE.dat 65796
Basic300_3_B10700001_MSE.dat 65792
Basic300_3_B10710001_MSE.dat 65792
Basic300_3_B10720001_MSE.dat 69888
Basic300_3_B10730001_MSE.dat 69888
Basic300_3_B10740001_MSE.dat 69888
Basic300_3_B10750001_MSE.dat 69888
Basic300_3_B10760001_MSE.dat 69888
Basic300_3_B10770001_MSE.dat 69888
Basic300_3_B10780001_MSE.dat 65792
Basic300_3_B10790001_MSE.dat 98560
Basic300_3_B10800001_MSE.dat 65792
Basic300_3_B10810001_MSE.dat 67840
Basic300_3_B10820001_MSE.dat 67840
Basic300_3_B10830001_MSE.dat 67840
Basic300_3_B10840001_MSE.dat 67840
Basic300_3_B10850001_MSE.dat 67840
Basic300_3_B10860001_MSE.dat 67584
Basic300_3_B10870001_MSE.dat 67584
Basic300_3_B10880001_MSE.dat 67584
Basic300_3_B10890001_MSE.dat 98304
Basic300_3_B10900001_MSE.dat 98304
Basic300_3_B10910001_MSE.dat 65536
Basic300_3_B10920001_MSE.dat 65536
Basic300_3_B10930001_MSE.dat 65536
Basic300_3_B10940001_MSE.dat 98304
Basic300_3_B10950001_MSE.dat 98304
Basic300_3_B10960001_MSE.dat 98304
Basic300_3_B10970001_MSE.dat 98304
Basic300_3_B10980001_MSE.dat 65536
Basic300_3_B10990001_MSE.dat 65536
Basic300_3_B11000001_MSE.dat 65536
Basic300_3_B99990001_MSE.dat 65536
Basic300_4_B10010001_MSE.dat 2623532
Basic300_4_B10020001_MSE.dat 2629804
Basic300_4_B10030001_MSE.dat 2629676
Basic300_4_B10040001_MSE.dat 2629805
Basic300_4_B10050001_MSE.dat 2105357
Basic300_4_B10060001_MSE.dat 2110509
Basic300_4_B10070001_MSE.dat 2109453
Basic300_4_B10080001_MSE.dat 2109453
Basic300_4_B10090001_MSE.dat 3153933
Basic300_4_B10100001_MSE.dat 3158029
Basic300_4_B10110001_MSE.dat 3158029
Basic300_4_B10120001_MSE.dat 3674124
Basic300_4_B10130001_MSE.dat 3682316
Basic300_4_B10140001_MSE.dat 3691309
Basic300_4_B10150001_MSE.dat 3691052
Basic300_4_B10160001_MSE.dat 2638380
Basic300_4_B10170001_MSE.dat 2638381
Basic300_4_B10180001_MSE.dat 2654764
Basic300_4_B10190001_MSE.dat 2916908
Basic300_4_B10200001_MSE.dat 2933420
Basic300_4_B10210001_MSE.dat 2883756
Basic300_4_B10220001_MSE.dat 2884268
Basic300_4_B10230001_MSE.dat 2941612
Basic300_4_B10240001_MSE.dat 2908716
Basic300_4_B10250001_MSE.dat 2941548
Basic300_4_B10260001_MSE.dat 811692
Basic300_4_B10270001_MSE.dat 2908844
Basic300_4_B10280001_MSE.dat 2908844
Basic300_4_B10290001_MSE.dat 2908844
Basic300_4_B10300001_MSE.dat 2630316
Basic300_4_B10310001_MSE.dat 3941036
Basic300_4_B10320001_MSE.dat 3965100
Basic300_4_B10330001_MSE.dat 3441324
Basic300_4_B10340001_MSE.dat 3187372
Basic300_4_B10350001_MSE.dat 3154092
Basic300_4_B10360001_MSE.dat 1352364
Basic300_4_B10370001_MSE.dat 1310892
Basic300_4_B10380001_MSE.dat 262316
Basic300_4_B10390001_MSE.dat 295084
Basic300_4_B10400001_MSE.dat 295596
Basic300_4_B10410001_MSE.dat 295596
Basic300_4_B10420001_MSE.dat 295596
Basic300_4_B10430001_MSE.dat 295596
Basic300_4_B10440001_MSE.dat 295084
Basic300_4_B10450001_MSE.dat 262316
Basic300_4_B10460001_MSE.dat 295596
Basic300_4_B10470001_MSE.dat 262316
Basic300_4_B10480001_MSE.dat 262316
Basic300_4_B10490001_MSE.dat 262316
Basic300_4_B10500001_MSE.dat 295084
Basic300_4_B10510001_MSE.dat 32940
Basic300_4_B10520001_MSE.dat 32940
Basic300_4_B10530001_MSE.dat 49324
Basic300_4_B10540001_MSE.dat 172
Basic300_4_B10550001_MSE.dat 172
Basic300_4_B10560001_MSE.dat 172
Basic300_4_B10570001_MSE.dat 44
Basic300_4_B10580001_MSE.dat 44
Basic300_4_B10590001_MSE.dat 172
Basic300_4_B10600001_MSE.dat 172
Basic300_4_B10610001_MSE.dat 524460
Basic300_4_B10620001_MSE.dat 524452
Basic300_4_B10630001_MSE.dat 524460
Basic300_4_B10640001_MSE.dat 524332
Basic300_4_B10650001_MSE.dat 540708
Basic300_4_B10660001_MSE.dat 524324
Basic300_4_B10670001_MSE.dat 671908
Basic300_4_B10680001_MSE.dat 680100
Basic300_4_B10690001_MSE.dat 540836
Basic300_4_B10700001_MSE.dat 802980
Basic300_4_B10710001_MSE.dat 934052
Basic300_4_B10720001_MSE.dat 934052
Basic300_4_B10730001_MSE.dat 942244
Basic300_4_B10740001_MSE.dat 540836
Basic300_4_B10750001_MSE.dat 540836
Basic300_4_B10760001_MSE.dat 549028
Basic300_4_B10770001_MSE.dat 942244
Basic300_4_B10780001_MSE.dat 811172
Basic300_4_B10790001_MSE.dat 1597604
Basic300_4_B10800001_MSE.dat 1729188
Basic300_4_B10810001_MSE.dat 1966756
Basic300_4_B10820001_MSE.dat 1704612
Basic300_4_B10830001_MSE.dat 1712805
Basic300_4_B10840001_MSE.dat 1581733
Basic300_4_B10850001_MSE.dat 1585893
Basic300_4_B10860001_MSE.dat 1077413
Basic300_4_B10870001_MSE.dat 3158693
Basic300_4_B10880001_MSE.dat 1061029
Basic300_4_B10890001_MSE.dat 1061605
Basic300_4_B10900001_MSE.dat 1585317
Basic300_4_B10910001_MSE.dat 3158180
Basic300_4_B10920001_MSE.dat 3158756
Basic300_4_B10930001_MSE.dat 1077925
Basic300_4_B10940001_MSE.dat 3158692
Basic300_4_B10950001_MSE.dat 12836
Basic300_4_B10960001_MSE.dat 12836
Basic300_4_B10970001_MSE.dat 12836
Basic300_4_B10980001_MSE.dat 2110116
Basic300_4_B10990001_MSE.dat 2110116
Basic300_4_B11000001_MSE.dat 3158580
Basic300_4_B99990001_MSE.dat 3158580
Basic300_5_B10010001_MSE.dat 144736
Basic300_5_B10020001_MSE.dat 144480
Basic300_5_B10030001_MSE.dat 143396
Basic300_5_B10040001_MSE.dat 136228
Basic300_5_B10050001_MSE.dat 13348
Basic300_5_B10060001_MSE.dat 144388
Basic300_5_B10070001_MSE.dat 4100
Basic300_5_B10080001_MSE.dat 5156
Basic300_5_B10090001_MSE.dat 5124
Basic300_5_B10100001_MSE.dat 5376
Basic300_5_B10110001_MSE.dat 4096
Basic300_5_B10120001_MSE.dat 4356
Basic300_5_B10130001_MSE.dat 36900
Basic300_5_B10140001_MSE.dat 4096
Basic300_5_B10150001_MSE.dat 4352
Basic300_5_B10160001_MSE.dat 4352
Basic300_5_B10170001_MSE.dat 13572
Basic300_5_B10180001_MSE.dat 12608
Basic300_5_B10190001_MSE.dat 12608
Basic300_5_B10200001_MSE.dat 12608
Basic300_5_B10210001_MSE.dat 8256
Basic300_5_B10220001_MSE.dat 8257
Basic300_5_B10230001_MSE.dat 8257
Basic300_5_B10240001_MSE.dat 73792
Basic300_5_B10250001_MSE.dat 73792
Basic300_5_B10260001_MSE.dat 1122368
Basic300_5_B10270001_MSE.dat 1122368
Basic300_5_B10280001_MSE.dat 1056832
Basic300_5_B10290001_MSE.dat 1056833
Basic300_5_B10300001_MSE.dat 1056832
Basic300_5_B10310001_MSE.dat 1048641
Basic300_5_B10320001_MSE.dat 1048577
Basic300_5_B10330001_MSE.dat 1056769
Basic300_5_B10340001_MSE.dat 1056833
Basic300_5_B10350001_MSE.dat 1188929
Basic300_5_B10360001_MSE.dat 1254465
Basic300_5_B10370001_MSE.dat 205889
Basic300_5_B10380001_MSE.dat 1254465
Basic300_5_B10390001_MSE.dat 1270849
Basic300_5_B10400001_MSE.dat 1269825
Basic300_5_B10410001_MSE.dat 221248
Basic300_5_B10420001_MSE.dat 221184
Basic300_5_B10430001_MSE.dat 205888
Basic300_5_B10440001_MSE.dat 1187904
Basic300_5_B10450001_MSE.dat 1204288
Basic300_5_B10460001_MSE.dat 221248
Basic300_5_B10470001_MSE.dat 204864
Basic300_5_B10480001_MSE.dat 204864
Basic300_5_B10490001_MSE.dat 237632
Basic300_5_B10500001_MSE.dat 205120
Basic300_5_B10510001_MSE.dat 205120
Basic300_5_B10520001_MSE.dat 206144
Basic300_5_B10530001_MSE.dat 206144
Basic300_5_B10540001_MSE.dat 197952
Basic300_5_B10550001_MSE.dat 132416
Basic300_5_B10560001_MSE.dat 200000
Basic300_5_B10570001_MSE.dat 200000
Basic300_5_B10580001_MSE.dat 199745
Basic300_5_B10590001_MSE.dat 66625
Basic300_5_B10600001_MSE.dat 205889
Basic300_5_B10610001_MSE.dat 73729
Basic300_5_B10620001_MSE.dat 73985
Basic300_5_B10630001_MSE.dat 73985
Basic300_5_B10640001_MSE.dat 73729
Basic300_5_B10650001_MSE.dat 73985
Basic300_5_B10660001_MSE.dat 73993
Basic300_5_B10670001_MSE.dat 106504
Basic300_5_B10680001_MSE.dat 565256
Basic300_5_B10690001_MSE.dat 565248
Basic300_5_B10700001_MSE.dat 565257
Basic300_5_B10710001_MSE.dat 598017
Basic300_5_B10720001_MSE.dat 598017
Basic300_5_B10730001_MSE.dat 98305
Basic300_5_B10740001_MSE.dat 65537
Basic300_5_B10750001_MSE.dat 98305
Basic300_5_B10760001_MSE.dat 98305
Basic300_5_B10770001_MSE.dat 622593
Basic300_5_B10780001_MSE.dat 589824
Basic300_5_B10790001_MSE.dat 622592
Basic300_5_B10800001_MSE.dat 589824
Basic300_5_B10810001_MSE.dat 98304
Basic300_5_B10820001_MSE.dat 98304
Basic300_5_B10830001_MSE.dat 98304
Basic300_5_B10840001_MSE.dat 114688
Basic300_5_B10850001_MSE.dat 114688
Basic300_5_B10860001_MSE.dat 98304
Basic300_5_B10870001_MSE.dat 98304
Basic300_5_B10880001_MSE.dat 81920
Basic300_5_B10890001_MSE.dat 114688
Basic300_5_B10900001_MSE.dat 114688
Basic300_5_B10910001_MSE.dat 65536
Basic300_5_B10920001_MSE.dat 98304
Basic300_5_B10930001_MSE.dat 114688
Basic300_5_B10940001_MSE.dat 100352
Basic300_5_B10950001_MSE.dat 116736
Basic300_5_B10960001_MSE.dat 98304
Basic300_5_B10970001_MSE.dat 100352
Basic300_5_B10980001_MSE.dat 229376
Basic300_5_B10990001_MSE.dat 196608
Basic300_5_B11000001_MSE.dat 196608
Basic300_5_B99990001_MSE.dat 196608
Basic300_6_B10010001_MSE.dat 3672132
Basic300_6_B10020001_MSE.dat 3676228
Basic300_6_B10030001_MSE.dat 3676237
Basic300_6_B10040001_MSE.dat 3151949
Basic300_6_B10050001_MSE.dat 3164237
Basic300_6_B10060001_MSE.dat 3162701
Basic300_6_B10070001_MSE.dat 3162693
Basic300_6_B10080001_MSE.dat 3326533
Basic300_6_B10090001_MSE.dat 3195461
Basic300_6_B10100001_MSE.dat 3326533
Basic300_6_B10110001_MSE.dat 3310149
Basic300_6_B10120001_MSE.dat 3276869
Basic300_6_B10130001_MSE.dat 3293253
Basic300_6_B10140001_MSE.dat 3293253
Basic300_6_B10150001_MSE.dat 3194949
Basic300_6_B10160001_MSE.dat 3330117
Basic300_6_B10170001_MSE.dat 3151941
Basic300_6_B10180001_MSE.dat 3148357
Basic300_6_B10190001_MSE.dat 3151937
Basic300_6_B10200001_MSE.dat 3178561
