282 | 0.135029 | + | | 
283 | 0.133534 | + | | 
284 | 0.131650 | + | | 
285 | 0.133485 | + | | 
286 | 0.127428 | + | | 
287 | 0.127196 | + | | 
288 | 0.109609 | + | | 
289 | 0.108053 | + | | 
290 | 0.109896 | + | | 
291 | 0.108710 | + | | 
292 | 0.106404 | + | | 
293 | 0.110627 | + | | 
294 | 0.107359 | + | | 
295 | 0.105978 | + | | 
296 | 0.103229 | + | | 
297 | 0.103793 | + | | 
298 | 0.104899 | + | | 
299 | 0.105511 | + | | 
300 | 0.104170 | + | | 
301 | 0.102111 | + | | 
302 | 0.102123 | + | | 
303 | 0.103944 | + | | 
304 | 0.103944 | + | | 
305 | 0.123081 | + | | 
306 | 0.122682 | + | | 
307 | 0.120987 | + | | 
308 | 0.120067 | + | | 
309 | 0.119973 | + | | 
310 | 0.123929 | + | | 
311 | 0.124916 | + | | 
312 | 0.126973 | + | | 
313 | 0.129449 | + | | 
314 | 0.127788 | + | | 
315 | 0.128783 | + | | 
316 | 0.126702 | + | | 
317 | 0.126236 | + | | 
318 | 0.128760 | + | | 
319 | 0.127280 | + | | 
320 | 0.127411 | + | | 
321 | 0.129417 | + | | 
322 | 0.129954 | + | | 
323 | 0.176641 | + | | 
324 | 0.176226 | + | | 
325 | 0.133859 | + | | 
326 | 0.131310 | + | | 
327 | 0.130044 | + | | 
328 | 0.124920 | + | | 
329 | 0.124987 | + | | 
330 | 0.122479 | + | | 
331 | 0.121885 | + | | 
332 | 0.122581 | + | | 
333 | 0.122713 | + | | 
334 | 0.119377 | + | | 
335 | 0.114687 | + | | 
336 | 0.114413 | + | | 
337 | 0.113417 | + | | 
338 | 0.111341 | + | | 
339 | 0.111529 | + | | 
340 | 0.109141 | + | | 
341 | 0.103673 | + | | 
342 | 0.103442 | + | | 
343 | 0.102796 | + | | 
344 | 0.102748 | + | | 
345 | 0.104493 | + | | 
346 | 0.103141 | + | | 
347 | 0.100097 | + | | 
348 | 0.099807 | + | | 
349 | 0.101644 | + | | 
350 | 0.102896 | + | | 
351 | 0.103895 | + | | 
352 | 0.104089 | + | | 
353 | 0.105036 | + | | 
354 | 0.105121 | + | | 
355 | 0.105979 | + | | 
356 | 0.107131 | + | | 
357 | 0.108312 | + | | 
358 | 0.109106 | + | | 
359 | 0.108303 | + | | 
360 | 0.108163 | + | | 
361 | 0.109836 | + | | 
362 | 0.109703 | + | | 
363 | 0.108213 | + | | 
364 | 0.109079 | + | | 
365 | 0.107044 | + | | 
366 | 0.107867 | + | | 
367 | 0.110300 | + | | 
368 | 0.107614 | + | | 
369 | 0.104277 | + | | 
370 | 0.105481 | + | | 
371 | 0.107150 | + | | 
372 | 0.108930 | + | | 
373 | 0.110305 | + | | 
374 | 0.116041 | + | | 
375 | 0.117936 | + | | 
376 | 0.119906 | + | | 
377 | 0.120686 | + | | 
378 | 0.121919 | + | | 
379 | 0.123506 | + | | 
380 | 0.125552 | + | | 
381 | 0.126973 | + | | 
382 | 0.126475 | + | | 
383 | 0.126836 | + | | 
384 | 0.129363 | + | | 
385 | 0.135227 | + | | 
386 | 0.128808 | + | | 
387 | 0.132908 | + | | 
388 | 0.132596 | + | | 
389 | 0.133100 | + | | 
390 | 0.129022 | + | | 
391 | 0.134155 | + | | 
392 | 0.127227 | + | | 
393 | 0.136848 | + | | 
394 | 0.137413 | + | | 
395 | 0.133992 | + | | 
396 | 0.138614 | + | | 
397 | 0.137135 | + | | 
398 | 0.137762 | + | | 
399 | 0.135973 | + | | 
400 | 0.134796 | + | | 
401 | 0.128651 | + | | 
402 | 0.127925 | + | | 
403 | 0.129978 | + | | 
404 | 0.127922 | + | | 
405 | 0.127922 | + | | 
406 | 0.109731 | + | | 
407 | 0.111320 | + | | 
408 | 0.109121 | + | | 
409 | 0.105207 | + | | 
410 | 0.105812 | + | | 
411 | 0.105308 | + | | 
412 | 0.105306 | + | | 
413 | 0.103827 | + | | 
414 | 0.102574 | + | | 
415 | 0.102547 | + | | 
416 | 0.103395 | + | | 
417 | 0.104525 | + | | 
418 | 0.105355 | + | | 
419 | 0.102262 | + | | 
420 | 0.099650 | + | | 
421 | 0.097602 | + | | 
422 | 0.092146 | + | | 
423 | 0.094296 | + | | 
424 | 0.094651 | + | | 
425 | 0.094036 | + | | 
426 | 0.092406 | + | | 
427 | 0.093044 | + | | 
428 | 0.092311 | + | | 
429 | 0.092731 | + | | 
430 | 0.091735 | + | | 
431 | 0.090983 | + | | 
432 | 0.091307 | + | | 
433 | 0.090271 | + | | 
434 | 0.092406 | + | | 
435 | 0.090022 | + | | 
436 | 0.090494 | + | | 
437 | 0.091333 | + | | 
438 | 0.091331 | + | | 
439 | 0.091531 | + | | 
440 | 0.090724 | + | | 
441 | 0.092239 | + | | 
442 | 0.091323 | + | | 
443 | 0.090262 | + | | 
444 | 0.089518 | + | | 
445 | 0.089053 | + | | 
446 | 0.088041 | + | | 
447 | 0.089123 | + | | 
448 | 0.090023 | + | | 
449 | 0.090287 | + | | 
450 | 0.090511 | + | | 
451 | 0.092374 | + | | 
452 | 0.094276 | + | | 
453 | 0.095786 | + | | 
454 | 0.094354 | + | | 
455 | 0.094424 | + | | 
456 | 0.096895 | + | | 
457 | 0.094947 | + | | 
458 | 0.096340 | + | | 
459 | 0.096672 | + | | 
460 | 0.096070 | + | | 
461 | 0.097236 | + | | 
462 | 0.094969 | + | | 
463 | 0.096512 | + | | 
464 | 0.096109 | + | | 
465 | 0.099767 | + | | 
466 | 0.098073 | + | | 
